2026-08-31 06:29:44 | INFO | ✓ 79/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/ju...
2026-08-31 06:29:45 | INFO | ✓ 80/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/outdoor/outdoor-d...
2026-08-31 06:29:47 | INFO | ✓ 81/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/outdoor/outdoor-d...
2026-08-31 06:29:48 | INFO | ✓ 82/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery...
2026-08-31 06:29:49 | INFO | ✓ 83/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/nape...
2026-08-31 06:29:50 | INFO | ✓ 84/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/tabl...
2026-08-31 06:29:52 | INFO | ✓ 85/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/plac...
2026-08-31 06:29:53 | INFO | ✓ 86/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/tea-...
2026-08-31 06:29:54 | INFO | ✓ 87/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/napk...
2026-08-31 06:29:54 | INFO | ✓ 88/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/coas...
2026-08-31 06:29:56 | INFO | ✓ 89/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/table/napery/apro...
2026-08-31 06:29:58 | INFO | ✓ 90/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/sale/table-sale...
2026-08-31 06:29:59 | INFO | ✓ 91/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor...
2026-08-31 06:30:02 | INFO | ✓ 92/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:03 | INFO | ✓ 93/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:04 | INFO | ✓ 94/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:04 | INFO | ✓ 95/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:06 | INFO | ✓ 96/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:07 | INFO | ✓ 97/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:09 | INFO | ✓ 98/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:12 | INFO | ✓ 99/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:12 | INFO | ✓ 100/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:12 | INFO | Checkpoint saved: 100 visited, 495 queued
2026-08-31 06:30:13 | INFO | ✓ 101/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:14 | INFO | ✓ 102/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
